id,GalaxyName,RA_hr,RA_min,RA_sec,Dec_deg,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err,vh(km/s),Vmag,Vmag_err,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err,vrot_s,vrot_s_err,MHI_mcconnachie,Data,Key,vsig_g,vsig_g_err,vrot_g,Notes,dist_kpc,MHI_computed,MHI_source,MHI_type,1sigma,notes/image/limit,mw_dist,m31_dist,r_ell,ell_surf_dist
53,NGC205,0,40,22.1,41,41,7,0.085,24.58,0.07,-246.0,8.1,0.1,28.0,0.43,19.2,2.46,0.1,0.1,35.0,5.0,11.0,5.0,0.4,x,u,16.1,99.9,0.0,,824.1381150130012,400000.0,various,detected_mass,,"Young & Lo 1997, seems solid, though they do say there could be residual M31 contamination",828.1245265842053,45.933996276145095,377.12632641331754,-278.900977216036
54,AndromedaI,0,45,39.8,38,2,28,0.053,24.36,0.07,-376.3,12.5,0.1,22.0,0.22,24.7,3.1,0.3,0.3,10.2,1.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,744.7319739059889,75490.19896782096,hi4pi,upper_limit,0.0192246,ok,748.7238656759272,55.41448211268955,317.7352504145411,-259.8848076154092
55,AndromedaXVII,0,37,7.0,44,19,20,0.07400000000000001,24.31,0.11,-251.6,15.8,0.4,122.0,0.27,25.7,1.24,0.08,0.08,2.9,2.2,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,727.7798045368243,41792.441494908395,hi4pi,upper_limit,0.0111446,ok,731.7798431158176,66.45885781302664,300.38524961196663,-263.9392356211756
56,AndromedaXXVII,0,37,27.1,45,23,13,0.08,24.59,0.12,-539.6,16.7,0.5,150.0,0.4,27.6,1.8,0.3,0.3,14.8,4.3,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,827.9421637123345,91039.81474305879,hi4pi,upper_limit,0.0187585,ok,831.9765970253278,76.85764106523405,413.0674180946954,-227.55578191477582
57,AndromedaIII,0,35,33.8,36,29,52,0.055999999999999994,24.37,0.07,-344.3,14.2,0.3,136.0,0.52,24.8,2.2,0.2,0.2,9.3,1.4,99.9,99.9,0.0,x,u,0.0,0.0,0.0,"004+34, m31",748.1695005111552,12493.332540000001,galfa,upper_limit,0.086061373,ok,751.8574558346219,73.03775990457883,345.75453749310935,-237.77161540934793
58,AndromedaXXV,0,30,8.9,46,51,7,0.10099999999999999,24.55,0.12,-107.8,14.8,0.5,170.0,0.25,27.1,3.0,0.2,0.2,3.0,1.2,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,812.8305161640995,104440.15804667487,hi4pi,upper_limit,0.0223272,"high background, smoothed cube may make this limit worse",816.7524348119018,90.19053704338167,429.1849540891844,-207.0115477865504
59,AndromedaXXVI,0,23,45.6,47,54,58,0.11,24.41,0.12,-261.6,17.3,0.5,145.0,0.25,27.4,1.0,0.1,0.1,8.6,2.8,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,762.0790100254115,50044.453596407686,hi4pi,upper_limit,0.0121709,ok,765.9014617762692,101.57666854836707,409.19372644049724,-202.45039713689005
60,AndromedaV,1,10,17.1,47,37,41,0.125,24.44,0.08,-403.0,14.9,0.2,32.0,0.18,25.3,1.4,0.2,0.2,11.5,5.3,99.9,99.9,0.0,x,u,0.0,0.0,0.0,,772.6805850957021,80461.55479625608,hi4pi,upper_limit,0.0190351,ok,777.4449073893646,108.84272467512164,433.79297735258126,-191.73740250820552
61,AndromedaXI,0,46,20.0,33,48,5,0.08,24.33,0.05,-419.6,17.5,1.2,999.9,9.99,26.5,0.71,0.03,0.03,4.6,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,"012+34, m31",734.5138681571144,9268.51441,hi4pi,upper_limit,0.0121324,ok,738.3651040097202,108.50015720712128,383.39443161644647,-209.32584946974052
62,AndromedaXIX,0,19,32.1,35,2,37,0.062,24.57,0.08,-111.6,15.6,0.6,37.0,0.17,29.3,6.2,0.1,0.1,4.7,1.6,99.9,99.9,,gs,u,99.9,99.9,99.9,"004+34, m31",820.3515443298177,,,upper_limit,0.0360227,"check HI4PI, ok, note nearby cloud elevates limit",823.569939373222,115.21287642163914,472.7439585505397,-181.68958252137344
63,AndromedaXXIII,1,29,21.8,38,43,8,0.066,24.43,0.13,-237.7,14.2,0.5,138.0,0.4,28.0,4.6,0.2,0.2,7.1,1.0,99.9,99.9,99.9,x,u,99.9,99.9,99.9,,769.1304402866098,81961.66420634136,hi4pi,upper_limit,0.0195694,ok,774.1494641014351,125.60122790382326,460.8931153097412,-176.68651319095812
64,AndromedaXX,0,7,30.7,35,7,56,0.059000000000000004,24.35,0.12,-456.2,18.2,0.8,80.0,0.3,26.2,0.53,0.14,0.04,7.1,3.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,004+34,741.3102413009177,10819.92472,galfa,upper_limit,0.0759196,ok,744.2285037912894,128.09612729926886,429.99801337861373,-186.36701133802768
