GalaxyName         RA e1 e2   Dec e3 e4 EB-V  (m-M)o e5  e6   vh(km/s) Vmag e7  e8  PA     e=1-b/a  muVo  rh(')   e9    e10  vsig_s e11  e12  vrot_s e13  e14   MHI   Data Key vsig_g  e15  e16  vrot_g notes
AndromedaV         1 10 17.1  47 37 41 0.125 24.44 0.08 0.08 -403.0   14.9 0.2 0.2  32.0  0.18     25.3    1.40  0.20  0.20 11.5   5.3  4.4 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 
AndromedaXI        0 46 20.0  33 48  5 0.080 24.33 0.05 0.05 -419.6   17.5 1.2 1.2 999.9  9.99     26.5    0.71  0.03  0.03  4.6  99.9 99.9 99.9   99.9 99.9  00.0      x u 00.0   00.0 00.0  00.0 
AndromedaXIX       0 19 32.1  35  2 37 0.062 24.57 0.08 0.43 -111.6   15.6 0.6 0.6  37.0  0.17     29.3    6.20  0.10  0.10  4.7   1.6  1.4 99.9   99.9 99.9  5.13  gs   u 99.9   99.9 99.9  99.9 
AndromedaXXIII     1 29 21.8  38 43  8 0.066 24.43 0.13 0.13 -237.7   14.2 0.5 0.5 138.0  0.40     28.0    4.60  0.20  0.20  7.1   1.0  1.0 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9  99.9 
AndromedaXX        0  7 30.7  35  7 56 0.059 24.35 0.12 0.16 -456.2   18.2 0.8 0.8  80.0  0.30     26.2    0.53  0.14  0.04  7.1   3.9  2.5 99.9   99.9 99.9  99.9     x  u 99.9   99.9 99.9  99.9 
AndromedaXIII      0 51 51.0  33  0 16 0.082 24.62 0.05 0.05 -185.4   18.1 1.2 1.2 999.9  9.99     27.3    0.78  0.08  0.08  5.8   2.0  2.0 99.9   99.9 99.9  00.0     x  u 00.0   00.0 00.0  00.0 (206)(207)
AndromedaX         1  6 33.7  44 48 16 0.129 24.13 0.08 0.13 -164.1   16.6 1.0 1.0  46.0  0.44     26.3    1.30  0.10  0.10  6.4   1.4  1.4 99.9   99.9 99.9  00.0     x  u 00.0   00.0 00.0  00.0 201)(202)
AndromedaXXI      23 54 47.7  42 28 15 0.093 24.59 0.06 0.07 -362.5   14.8 0.6 0.6 110.0  0.20     27.0    3.50  0.30  0.30  4.5   1.2  1.0 99.9   99.9 99.9  99.9      x u 99.9   99.9 99.9  99.9 
AndromedaXXXII          00 35 59.4  51 33 35 0.193 24.45 0.14 0.14  999.9   12.2 0.7 0.7 -90.0  0.50     26.4    6.50  1.20  1.00 99.9  99.9 99.9 99.9   99.9 99.9  99.9 x      u 99.9   99.9 99.9 999.9 
NGC147             0 33 12.1  48 30 32 0.172 24.15 0.09 0.09 -193.1    9.5 0.1 0.1  25.0  0.41     21.2    3.17  9.99  9.99 16.0   1.0  1.0 17.0    2.0  2.0  00.0      x u 00.0   00.0 00.0  00.0 
