,GalaxyName,RA_hr,RA_min,RA_sec,Dec_hr,Dec_arcmin,Dec_arcsec,EB-V,m-M,m-M_err_pos,m-M_err_neg,vh(km/s),Vmag,Vmag_err_pos,Vmag_err_neg,PA,e=1-b/a,muVo,rh('),rh_err_pos,rh_err_neg,vsig_s,vsig_err_pos,vsig_err_neg,vrot_s,vrot_s_err_pos,vrot_s_err_neg,MHI,Data,Key,vsig_g,vsig_g_err_pos,vsig_g_err_neg,vrot_g,note,M-m,Notes,ra,dec,dist_pc,dist_kpc,dist_mpc,MHI_computed,MHI_source,MHI_type,1sigma,rh_subtable,MHI_method,npix,GUU,GRU,HUU,GNV,HNV,LIT,HRU
31,ReticulumIII,3.0,45.0,26.4,-60.0,27.0,0.0,9.999,19.81,0.31,0.31,999.9,16.5,0.3,0.3,999.9,9.99,99.9,2.4,0.9,0.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,19.81,- not seeing,,,91622.04901219992,91.62204901219992,0.09162204901219992,1010.3740397747455,hi4pi,upper_limit,0.017,2.4,hi4pi_no_velocity,,,,,,1010.3740397747455,,
32,Indus1,21.0,8.0,49.1,-51.0,9.0,56.0,9.999,20.0,0.2,0.2,999.9,16.5,0.2,0.2,999.9,9.99,99.9,1.26,0.45,0.27,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,20.0,-  ,,,100000.0,100.0,0.1,1416.0000000000002,hi4pi,upper_limit,0.02,1.26,hi4pi_no_velocity,,,,,,1416.0000000000002,,
33,UrsaMajor(I),10.0,34.0,52.8,51.0,55.0,12.0,0.02,19.93,0.1,0.1,-55.3,14.4,0.3,0.3,71.0,0.8,27.7,11.3,1.7,1.7,7.6,1.0,1.0,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,19.93,,,,96827.78562612487,96.82778562612486,0.09682778562612487,6811.551286571539,hi4pi,upper_limit,1.12877,2.3,hi4pi_resolved_undetected,11.0,,,,,,,6811.551286571539
34,Grus1,22.0,56.0,42.4,-50.0,9.0,48.0,9.999,20.4,0.2,0.2,-141.0,17.0,0.3,0.3,4.0,0.41,99.9,1.77,0.85,0.39,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,20.4,Walker et al. (2016) v_hel = -140.5 km/s,,,120226.4434617413,120.22644346174131,0.1202264434617413,2165.8529076975533,hi4pi,upper_limit,0.0211639,1.77,hi4pi_unresolved_undetected,,,,2165.8529076975533,,,,
35,Pictoris1,4.0,43.0,47.4,-50.0,16.0,59.0,9.999,20.3,0.2,0.2,999.9,17.2,0.3,0.3,78.0,0.47,99.9,0.88,0.27,0.13,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,20.3,- not seeing,,,114815.3621496884,114.8153621496884,0.1148153621496884,1866.6515417958767,hi4pi,upper_limit,0.02,0.88,hi4pi_no_velocity,,,,,,1866.6515417958767,,
36,Carina,6.0,41.0,36.7,-50.0,57.0,58.0,0.061,20.11,0.13,0.13,222.9,11.0,0.5,0.5,65.0,0.33,25.5,8.2,1.2,1.2,6.6,1.2,1.2,0.0,0.0,0.0,0.0,x,u,0.0,0.0,0.0,0.0,,20.11,,,,105196.18738232236,105.19618738232236,0.10519618738232235,1127.8098307322118,hi4pi,upper_limit,0.0143947,8.2,hi4pi_unresolved_undetected,,,,1127.8098307322118,,,,
37,Hercules,16.0,31.0,2.0,12.0,47.0,30.0,0.063,20.6,0.2,0.2,45.2,14.0,0.3,0.3,102.0,0.68,27.2,8.6,1.8,1.1,3.7,0.9,0.9,99.9,99.9,99.9,3.41,gs,u,0.0,0.0,0.0,0.0,,20.6,244+10s  stdev 0.08K,,,131825.67385564075,131.82567385564076,0.13182567385564076,1530.633073672009,hi4pi,upper_limit,0.0124405,8.6,hi4pi_unresolved_undetected,,,2548.4508544647174,1530.633073672009,,,,
38,HydraII,12.0,21.0,42.1,-31.0,59.0,7.0,0.053,20.64,0.16,0.16,303.1,15.8,0.3,0.3,28.0,0.01,99.9,1.7,0.3,0.2,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,20.64,,,,134276.49611378642,134.2764961137864,0.13427649611378642,2558.6132897298457,hi4pi,upper_limit,0.020043400000000003,1.7,hi4pi_unresolved_undetected,,,,2558.6132897298457,,,,
39,Fornax,2.0,39.0,59.3,-34.0,26.0,57.0,0.021,20.84,0.18,0.18,55.3,7.4,0.3,0.3,41.0,0.3,23.3,16.6,1.2,1.2,11.7,0.9,0.9,0.0,0.0,0.0,0.17,x,u,0.0,0.0,0.0,0.0,,20.84,,,,147231.25024327193,147.23125024327194,0.14723125024327194,3815.6415820000707,hi4pi,upper_limit,0.024861900000000003,16.6,hi4pi_unresolved_undetected,,,,3815.6415820000707,,,,
40,LeoIV,11.0,32.0,57.0,0.0,32.0,0.0,0.026000000000000002,20.94,0.09,0.09,132.3,15.1,0.4,0.4,121.0,0.49,27.5,4.6,0.8,0.8,3.3,1.7,1.7,99.9,99.9,99.9,3.36,gs,u,0.0,0.0,0.0,0.0,,20.94,172+2  stdev 0.095K noisier region getting into galactic,,,154170.04529495616,154.17004529495617,0.15417004529495615,2292.751670375776,galfa,upper_limit,0.018579,,galfa_resolved_undetected,,,2292.751670375776,,,,,
41,CanesVenaticiII,12.0,57.0,10.0,34.0,19.0,15.0,0.01,21.02,0.06,0.06,-128.9,16.1,0.5,0.5,177.0,0.52,26.1,1.6,0.3,0.3,4.6,1.0,1.0,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,21.02,196+34 stdev 0.076K,,,159955.8028614668,159.9558028614668,0.1599558028614668,2371.044611698523,hi4pi,upper_limit,0.013088999999999998,1.6,hi4pi_unresolved_undetected,,,,2371.044611698523,,,,
42,LeoV,11.0,31.0,9.6,2.0,13.0,12.0,0.027000000000000003,21.25,0.12,0.12,173.3,16.0,0.4,0.4,96.0,0.5,27.1,2.6,0.6,0.6,3.7,2.3,1.4,99.9,99.9,99.9,0.0,x,u,0.0,0.0,0.0,0.0,,21.25,172+2 stdev 0.08K rounding up,,,177827.94100389228,177.82794100389228,0.1778279410038923,3249.8742066977734,galfa,upper_limit,0.079254866,2.6,galfa_unresolved_undetected,,3249.8742066977734,,,,,,
43,PiscesII,22.0,58.0,31.0,5.0,57.0,9.0,0.065,21.3,9.99,9.99,-227.0,16.3,0.5,0.5,77.0,0.4,25.7,1.1,0.1,0.1,5.4,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,21.3,"348+2s.mir - Kirby et al. (2015) -226.5 km/s, dis = 5.4 km/s 0.04K except about 30 km/s to -80 (nasty baseline, mag st through region, clear at position, but interesting that diffuse elevated) ",,,181970.08586099825,181.97008586099827,0.18197008586099825,,,,,1.1,,,,,,,,,
44,ColumbaI,5.0,31.0,26.4,-28.0,1.0,48.0,9.999,21.3,0.22,0.22,999.9,16.8,0.2,0.2,999.9,9.99,99.9,1.9,0.5,0.4,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,21.3,- not velocity,,,181970.08586099825,181.97008586099827,0.18197008586099825,5157.698348212833,hi4pi,upper_limit,0.022000000000000002,1.9,hi4pi_no_velocity,,,,,,5157.698348212833,,
45,Pegasus3,22.0,24.0,22.6,5.0,25.0,12.0,9.999,21.56,0.2,0.2,999.9,17.5,0.5,0.5,133.0,0.46,99.9,1.3,0.5,0.4,99.9,99.9,99.9,99.9,99.9,99.9,3.43,g,unv,99.9,99.9,99.9,999.9,,21.56,340+2s.mir - not seeing  ~0.06K void 30 to -60 km/s about,,,205116.21788255626,205.11621788255627,0.20511621788255627,2727.7880301848504,galfa,upper_limit,0.05,1.3,galfa_no_velocity,,,,,2727.7880301848504,,,
46,IndusI?,20.0,38.0,52.8,-46.0,9.0,36.0,9.999,21.65,0.16,0.16,999.9,17.4,0.2,0.2,999.9,9.99,99.9,2.9,1.1,1.0,99.9,99.9,99.9,99.9,99.9,99.9,99.9,x,u,99.9,99.9,99.9,999.9,,21.65,- not seeing,,,213796.20895022326,213.79620895022325,0.21379620895022325,6148.750326699301,hi4pi,upper_limit,0.019,2.9,hi4pi_no_velocity,,,,,,6148.750326699301,,
47,CanesVenatici(I),13.0,28.0,3.5,33.0,33.0,21.0,0.013999999999999999,21.69,0.1,0.1,30.9,13.1,0.2,0.2,70.0,0.39,27.1,8.9,0.4,0.4,7.6,0.4,0.4,99.9,99.9,99.9,3.6,gs,u,0.0,0.0,0.0,0.0,,21.69,"204+34 0.06K would benefit from unsharp mask as close to Galactic, baselines generally look quite good, but can see Josh’s point on velocity on-off on this one as baseline going up and down with position",,,217770.97723531592,217.7709772353159,0.2177709772353159,5137.783255119092,hi4pi,upper_limit,0.0153018,8.9,hi4pi_unresolved_undetected,,,,5137.783255119092,,,,
