GalaxyName RA_h RA_m RA_s Dec_d Dec_m Dec_s Dist sig1 sig2 vh(km/s) MHI siga sigb r_ell ell_surf_dist
GR8 12 58 40.4 14 13 3 26.69 0.12 0.12 213.9 2.5 2.5 11.0 4827.352468051802 1916.7803950185787
UGC9128 14 15 56.5 23 3 19 26.8 0.04 0.04 152.0 1.0 1.0 18.0 5477.148307252906 2035.914365130453
UGC8508 13 30 44.4 54 54 36 27.06 0.03 0.03 56.0 5.0 5.0 29.0 6416.265316393723 2230.291821771594
IC3104 12 18 46.0 -79 43 34 26.78 0.18 0.18 429.0 4.0 4.0 13.0 4130.118435222416 1975.7677258985696
DDO125 12 27 40.9 43 29 44 27.06 0.05 0.05 194.9 0.2 0.2 35.0 6479.224229330543 2298.6292946433755
UGCA86 3 59 48.3 67 8 19 27.36 0.17 0.17 67.0 4.0 4.0 860.0 4812.288284422343 1959.777293386263
DDO99 11 50 53.0 38 52 49 27.07 0.14 0.14 251.0 4.0 4.0 52.0 6482.042983206101 2324.232097011991
IC4662 17 47 8.8 -64 38 30 26.94 0.17 0.17 302.0 3.0 3.0 180.0 4985.290106426925 2164.5161665402634
DDO190 14 24 43.4 44 31 33 27.23 0.03 0.03 150.0 4.0 4.0 43.0 7002.654750296567 2488.2503152529657
KKH86 13 54 33.5 4 14 35 27.06 0.16 0.16 287.2 0.7 0.7 0.88 5310.043903996372 2307.960630347786
NGC4163 12 12 9.1 36 10 9 27.28 0.03 0.03 165.0 5.0 5.0 7.9 7081.249954489371 2595.2221939888063
DDO113 12 14 57.9 36 13 8 27.35 0.06 0.06 284.0 6.0 6.0 48.0 7310.001517868644 2688.711378168068
