# 		      cubename        cra       cdec     min_ra     max_ra    min_dec    max_dec
GALFA_HI_RA+DEC_292.00+02.35_W     292.00       2.35     287.74     296.26      -1.34       6.61
GALFA_HI_RA+DEC_292.00+10.35_W     292.00      10.35     287.74     296.26       6.09      14.61
GALFA_HI_RA+DEC_292.00+18.35_W     292.00      18.35     287.74     296.26      14.09      22.61
GALFA_HI_RA+DEC_292.00+26.35_W     292.00      26.35     287.74     296.26      22.09      30.61
GALFA_HI_RA+DEC_292.00+34.35_W     292.00      34.35     287.74     296.26      30.09      38.00
GALFA_HI_RA+DEC_300.00+02.35_W     300.00       2.35     295.74     304.26      -1.34       6.61
GALFA_HI_RA+DEC_300.00+10.35_W     300.00      10.35     295.74     304.26       6.09      14.61
GALFA_HI_RA+DEC_300.00+18.35_W     300.00      18.35     295.74     304.26      14.09      22.61
GALFA_HI_RA+DEC_300.00+26.35_W     300.00      26.35     295.74     304.26      22.09      30.61
GALFA_HI_RA+DEC_300.00+34.35_W     300.00      34.35     295.74     304.26      30.09      38.00
GALFA_HI_RA+DEC_308.00+02.35_W     308.00       2.35     303.74     312.26      -1.34       6.61
GALFA_HI_RA+DEC_308.00+10.35_W     308.00      10.35     303.74     312.26       6.09      14.61
GALFA_HI_RA+DEC_308.00+18.35_W     308.00      18.35     303.74     312.26      14.09      22.61
GALFA_HI_RA+DEC_308.00+26.35_W     308.00      26.35     303.74     312.26      22.09      30.61
GALFA_HI_RA+DEC_308.00+34.35_W     308.00      34.35     303.74     312.26      30.09      38.00
GALFA_HI_RA+DEC_316.00+02.35_W     316.00       2.35     311.74     320.26      -1.34       6.61
GALFA_HI_RA+DEC_316.00+10.35_W     316.00      10.35     311.74     320.26       6.09      14.61
GALFA_HI_RA+DEC_316.00+18.35_W     316.00      18.35     311.74     320.26      14.09      22.61
GALFA_HI_RA+DEC_316.00+26.35_W     316.00      26.35     311.74     320.26      22.09      30.61
GALFA_HI_RA+DEC_316.00+34.35_W     316.00      34.35     311.74     320.26      30.09      38.00
GALFA_HI_RA+DEC_324.00+02.35_W     324.00       2.35     319.74     328.26      -1.34       6.61
GALFA_HI_RA+DEC_324.00+10.35_W     324.00      10.35     319.74     328.26       6.09      14.61
GALFA_HI_RA+DEC_324.00+18.35_W     324.00      18.35     319.74     328.26      14.09      22.61
